sample_id,subject_id,dataset,cohort,test_fold,arm,arm_label,seed,logit_resolution,effective_spacing_mm,shared_frontend_sha256,dice_femur,iou_femur,assd_mm_femur,hd95_mm_femur,empty_prediction_femur,prediction_components_femur,target_components_femur,false_bridge_femur,dice_tibia,iou_tibia,assd_mm_tibia,hd95_mm_tibia,empty_prediction_tibia,prediction_components_tibia,target_components_tibia,false_bridge_tibia,dice_patella,iou_patella,assd_mm_patella,hd95_mm_patella,empty_prediction_patella,prediction_components_patella,target_components_patella,false_bridge_patella,dice_fibula,iou_fibula,assd_mm_fibula,hd95_mm_fibula,empty_prediction_fibula,prediction_components_fibula,target_components_fibula,false_bridge_fibula,dice_macro,assd_mm_macro
Case11_PartRight,Case11,Ruikar,fractured,2,plain_prelu_style,PReLU + plain,42,128,1.5625,9c85e9fb8085a67d5ad1e2ba615c0077800b321ca8b8a6033de2ea52ab744370,0.4813785546268337,0.31698390411479144,11.393468954946757,25.04878053418968,False,1,14,True,0.4996785669297495,0.3330476762617526,10.725894108113218,19.795092905187385,False,1,9,True,0.16314059295747071,0.08881495901754308,16.357730959417808,35.19095509236003,False,1,1,False,0.0802971747632177,0.041827919252717456,27.612358096717074,65.31268690164646,False,1,1,False,0.3061237223193179,16.522363029798715
Case16_PartRight,Case16,Ruikar,fractured,2,plain_prelu_style,PReLU + plain,42,128,1.5625,9c85e9fb8085a67d5ad1e2ba615c0077800b321ca8b8a6033de2ea52ab744370,0.536286594761171,0.36638770461603243,10.935936731547706,23.735089892130176,False,1,4,True,0.5429078561506405,0.372596790424236,9.460525636990976,18.76626898353799,False,1,4,True,0.30331543527326316,0.1787694905576714,11.49114878100994,22.80393674894754,False,1,1,False,0.11813311640723478,0.06277442758421946,21.520876929594866,45.507393372533436,False,1,1,False,0.3751607506480774,13.352122019785872
VSD_015_Left,VSD_015,VSD,healthy,2,plain_prelu_style,PReLU + plain,42,128,1.5625,9c85e9fb8085a67d5ad1e2ba615c0077800b321ca8b8a6033de2ea52ab744370,0.6951506734332117,0.5327440182402015,6.913095854733232,16.99106497729027,False,1,1,False,0.7419632510840336,0.589778678344153,5.733880293904258,16.331675750286617,False,1,1,False,0.3276368334507869,0.19591249078203463,10.882721128891733,26.90496149644151,False,1,1,False,0.13102554122963803,0.07010558149405773,21.077905525119252,44.97449363945079,False,1,1,False,0.4739440747994175,11.151900700662118
VSD_015_Right,VSD_015,VSD,healthy,2,plain_prelu_style,PReLU + plain,42,128,1.5625,9c85e9fb8085a67d5ad1e2ba615c0077800b321ca8b8a6033de2ea52ab744370,0.784872595220669,0.6459179441872626,5.191912223418196,12.741801898671946,False,1,1,False,0.7333574013282175,0.5789773706467991,5.8764358871627245,15.70293065800139,False,1,1,False,0.37652288363168274,0.2319237393835006,9.29021308209,15.50736971974938,False,1,1,False,0.1612524253780932,0.08769687998704813,18.462716886662065,38.48003236257735,False,1,1,False,0.5140013263896656,9.705319519833246
VSD_019_Left,VSD_019,VSD,healthy,2,plain_prelu_style,PReLU + plain,42,128,1.5625,9c85e9fb8085a67d5ad1e2ba615c0077800b321ca8b8a6033de2ea52ab744370,0.6405330631137865,0.47116487038728083,8.1333101513457,20.101063016044698,False,1,1,False,0.6859452704650146,0.5220066219827506,7.153640022591373,20.28242966522995,False,1,1,False,0.3619337919292609,0.22095187004408978,9.880034729573573,24.816219022294675,False,1,1,False,0.17376916769669454,0.09515180919245068,19.3500065698101,43.78486334125642,False,1,1,False,0.4655453233011892,11.129247868330186
VSD_019_Right,VSD_019,VSD,healthy,2,plain_prelu_style,PReLU + plain,42,128,1.5625,9c85e9fb8085a67d5ad1e2ba615c0077800b321ca8b8a6033de2ea52ab744370,0.6926674581105737,0.5298326446532832,7.182909420213004,20.99223256647563,False,1,1,False,0.6952543945872856,0.5328658641983807,6.849128633395204,19.358612020881043,False,1,1,False,0.42657864497255427,0.27111532687003176,8.770241212962679,20.919418498431067,False,1,1,False,0.20331445820966582,0.1131608472827527,16.765397926957352,32.663351500573235,False,1,1,False,0.5044537389700199,9.89191929838206
VSD_z023_Left,VSD_z023,VSD,healthy,2,plain_prelu_style,PReLU + plain,42,128,1.5625,9c85e9fb8085a67d5ad1e2ba615c0077800b321ca8b8a6033de2ea52ab744370,0.26227643108133036,0.1509310432179594,16.476978490294346,41.25858102034654,False,1,1,False,0.4254857586355443,0.27023303280307154,13.219287749004657,31.60926300647486,False,1,1,False,0.0014808931131738905,0.0007409952239489656,29.15060673792708,59.79497849422642,False,1,1,False,0.003450105114250349,0.0017280335057430543,27.905904059485017,64.66466233336025,False,1,1,False,0.17317329698607473,21.688194259177777
VSD_z023_Right,VSD_z023,VSD,healthy,2,plain_prelu_style,PReLU + plain,42,128,1.5625,9c85e9fb8085a67d5ad1e2ba615c0077800b321ca8b8a6033de2ea52ab744370,0.6625207328006998,0.4953502824668283,7.505991183827195,16.554390703450853,False,1,1,False,0.6426008476523921,0.4734059591395947,8.001950183489779,19.65585253970176,False,1,1,False,0.36826641775617214,0.22569028532817348,9.343229177550178,23.20194125768359,False,1,1,False,0.16094663263115203,0.0875160207348523,20.22559333521488,44.9880626527749,False,1,1,False,0.458583657710104,11.269190970020508
VSD_z035_Left,VSD_z035,VSD,healthy,2,plain_prelu_style,PReLU + plain,42,128,1.5625,9c85e9fb8085a67d5ad1e2ba615c0077800b321ca8b8a6033de2ea52ab744370,0.6102064885801216,0.4390626978512124,8.548782869286201,15.295338876925353,False,1,1,False,0.5693241627072582,0.3979407129602373,9.248213874278825,15.108655942041965,False,1,1,False,0.3310366375943414,0.19834865465062232,11.237662518871721,28.851298422003147,False,1,1,False,0.10303789734861946,0.05431731988984048,30.533697517750312,69.21010809484406,False,1,1,False,0.40340129655758517,14.892089195046765
VSD_z035_Right,VSD_z035,VSD,healthy,2,plain_prelu_style,PReLU + plain,42,128,1.5625,9c85e9fb8085a67d5ad1e2ba615c0077800b321ca8b8a6033de2ea52ab744370,0.6247107897340636,0.454239577443689,7.884524960242597,17.62580339481012,False,1,1,False,0.5840467880903043,0.4124760501814891,8.966542075564533,17.205246519957218,False,1,1,False,0.2961806789904017,0.17383338440774332,11.076510818776047,24.11773287567677,False,1,1,False,0.10092591314907064,0.05314480032552462,31.320687322231304,74.02524115546669,False,1,1,False,0.4014660424909601,14.812066294203621
VSD_z042_Left,VSD_z042,VSD,healthy,2,plain_prelu_style,PReLU + plain,42,128,1.5625,9c85e9fb8085a67d5ad1e2ba615c0077800b321ca8b8a6033de2ea52ab744370,0.6284917145337606,0.4582485728987828,7.905746929386927,15.189236011893422,False,1,1,False,0.5881987806603746,0.41663002737418403,8.71742662766384,18.40502967092148,False,1,1,False,0.3056774413100756,0.18041277898491184,10.981871259809187,22.371595411369302,False,1,1,False,0.09918115074325387,0.05217811827888568,23.504221539347192,52.893566530520104,False,1,1,False,0.4053872718118662,12.777316589051788
