sample_id,subject_id,dataset,cohort,test_fold,arm,arm_label,seed,logit_resolution,effective_spacing_mm,shared_frontend_sha256,dice_femur,iou_femur,assd_mm_femur,hd95_mm_femur,empty_prediction_femur,prediction_components_femur,target_components_femur,false_bridge_femur,dice_tibia,iou_tibia,assd_mm_tibia,hd95_mm_tibia,empty_prediction_tibia,prediction_components_tibia,target_components_tibia,false_bridge_tibia,dice_patella,iou_patella,assd_mm_patella,hd95_mm_patella,empty_prediction_patella,prediction_components_patella,target_components_patella,false_bridge_patella,dice_fibula,iou_fibula,assd_mm_fibula,hd95_mm_fibula,empty_prediction_fibula,prediction_components_fibula,target_components_fibula,false_bridge_fibula,dice_macro,assd_mm_macro
Case13_PartRight,Case13,Ruikar,fractured,1,plain_prelu_style,PReLU + plain,42,128,1.5625,d6509c1698db6c02e78d6253c52f8e443eea95523a57d0226923df6577698e34,0.5236134984389799,0.35465882266286664,10.569780362650462,23.04356438086348,False,1,43,True,0.4945453585583004,0.32850233075418245,10.736839223759636,23.4375,False,1,20,True,0.21718849600659942,0.12182358904466851,13.286392765282688,21.875,False,1,12,True,0.11939799115904075,0.06348923940192287,18.71892493939837,41.29554777000784,False,1,8,True,0.3386863360407302,13.32798432277279
Case7_PartRight,Case7,Ruikar,fractured,1,plain_prelu_style,PReLU + plain,42,128,1.5625,d6509c1698db6c02e78d6253c52f8e443eea95523a57d0226923df6577698e34,0.3290819361580269,0.19694678229844656,14.58961690386692,34.98220808943455,False,1,1,False,0.3680484840308577,0.22552660445447753,13.577034391961533,29.738853610428563,False,1,1,False,0.033400998646693734,0.01698414299189056,30.322244156954007,70.05530214700744,False,1,1,False,0.004880034642541352,0.0024459855684252118,33.84543741402821,59.91734215254378,False,1,1,False,0.18385286336952994,23.083583216702667
VSD_006_Left,VSD_006,VSD,healthy,1,plain_prelu_style,PReLU + plain,42,128,1.5625,d6509c1698db6c02e78d6253c52f8e443eea95523a57d0226923df6577698e34,0.6663128424292428,0.49960205333527963,7.487789029461149,18.831204364365547,False,1,1,False,0.7080742341733177,0.5480765636098546,6.397673670456456,19.948664585630787,False,1,1,False,0.4657653367564546,0.3035815497557421,7.346242241412329,12.5,False,2,1,False,0.17705448517514866,0.09712549482981121,18.792785968986205,44.05966012391944,False,1,1,False,0.504301724633541,10.006122727579035
VSD_006_Right,VSD_006,VSD,healthy,1,plain_prelu_style,PReLU + plain,42,128,1.5625,d6509c1698db6c02e78d6253c52f8e443eea95523a57d0226923df6577698e34,0.6240238072178836,0.4535135204310157,8.953674014193673,18.43816206438429,False,1,1,False,0.6050239222413958,0.433716342443324,9.076870564845002,22.71006539648224,False,1,1,False,0.5330090590529368,0.3633349355987404,5.739533949382363,12.027190873703635,False,1,1,False,0.1562923984023331,0.08477070782096778,21.065812819922645,48.55077480715421,False,1,1,False,0.4795872967286373,11.20897283708592
VSD_023_Left,VSD_023,VSD,healthy,1,plain_prelu_style,PReLU + plain,42,128,1.5625,d6509c1698db6c02e78d6253c52f8e443eea95523a57d0226923df6577698e34,0.6599835296044375,0.49251896837478093,7.941053475998508,15.819106821341084,False,1,1,False,0.7017602723221503,0.5405475255154785,6.653179848182607,18.63571944043213,False,1,1,False,0.48717016384822365,0.3220257508190417,7.464206506138926,21.729425243326965,False,1,1,False,0.19367821874685565,0.10722243442831678,17.93119653811569,40.51969524965606,False,1,1,False,0.5106480461304168,9.997409092108931
VSD_023_Right,VSD_023,VSD,healthy,1,plain_prelu_style,PReLU + plain,42,128,1.5625,d6509c1698db6c02e78d6253c52f8e443eea95523a57d0226923df6577698e34,0.6670576304311231,0.5004399632422776,7.637896549359784,15.876876119454355,False,1,1,False,0.6951328707108823,0.5327231065201142,6.856670272260214,18.087245160609726,False,1,1,False,0.585864763299563,0.4142918923840306,4.864915154310097,10.993161937086162,False,1,1,False,0.18326784999123108,0.10087774908940016,18.232751768661156,37.841059557425,False,1,1,False,0.5328307786081998,9.398058436147814
VSD_z004_Left,VSD_z004,VSD,healthy,1,plain_prelu_style,PReLU + plain,42,128,1.5625,d6509c1698db6c02e78d6253c52f8e443eea95523a57d0226923df6577698e34,0.6890162821434741,0.5255719600164249,7.071186592375524,18.798764711743694,False,1,1,False,0.6857417349303221,0.5217709130358531,6.948967536590547,14.10583600411546,False,1,1,False,0.40078112286411716,0.2506105503093455,9.038218329475955,17.50940990245572,False,1,1,False,0.12479344957703406,0.0665491753689139,21.911900596479754,44.70907477445155,False,1,1,False,0.4750831473787368,11.242568263730444
VSD_z004_Right,VSD_z004,VSD,healthy,1,plain_prelu_style,PReLU + plain,42,128,1.5625,d6509c1698db6c02e78d6253c52f8e443eea95523a57d0226923df6577698e34,0.6917706793529179,0.5287839589245342,7.087244812120248,14.384337999626538,False,1,1,False,0.7006680673953193,0.5392525572666705,6.731214195670053,15.79980345012241,False,1,1,False,0.5746616485132474,0.40317560242017275,5.865887649191524,14.0625,False,2,1,False,0.15638275303601828,0.08482387181696477,18.2305247128298,35.0053159554838,False,1,1,False,0.5308707870743757,9.478717842452905
VSD_z036_Left,VSD_z036,VSD,healthy,1,plain_prelu_style,PReLU + plain,42,128,1.5625,d6509c1698db6c02e78d6253c52f8e443eea95523a57d0226923df6577698e34,0.4774578750415043,0.3135925549872846,12.95936776614976,35.18228202874282,False,1,1,False,0.5903145892244579,0.41875625917111164,9.955008200916916,24.48193689998812,False,1,1,False,0.0523412431169037,0.026873928983672246,24.29902288593551,54.51423445131097,False,1,1,False,0.0,0.0,61.28584089280227,93.881743356414,False,1,1,False,0.2800284268457165,27.124809936451115
VSD_z036_Right,VSD_z036,VSD,healthy,1,plain_prelu_style,PReLU + plain,42,128,1.5625,d6509c1698db6c02e78d6253c52f8e443eea95523a57d0226923df6577698e34,0.6225348183050301,0.4519423260768025,8.888591528630048,23.320018057186406,False,1,1,False,0.5725391478177174,0.4010892116182573,9.634080364671847,24.569039364869354,False,1,1,False,0.0,0.0,33.885769953806246,97.34371864323747,False,2,1,False,0.1055276908643994,0.05570294712438895,24.420734365522197,48.801555271066924,False,1,1,False,0.3251504142467867,19.207294053157586
