arm,step2_target,frozen,fold,dataset,case,side,dice,hd95_mm,assd_mm
tsdf|frozen|noaux,tsdf_blend,True,2,fractured,Case13,right,0.0008699111640453339,169.11996663545355,122.53921505878336
tsdf|frozen|noaux,tsdf_blend,True,2,healthy,VSD_006,right,0.0011585878673940897,167.12206393528754,122.47827839540545
